url,primary_keyword,secondary_keyword,region,language,device
https://www.fourseasons.com/hampshire/accommodations/,luxury accommodation hampshire​,hampshire accommodation,GB,en,mobile
https://www.fourseasons.com/hampshire/dining/,hampshire restaurants​,fine dining hampshire​,GB,en,mobile
https://www.fourseasons.com/hampshire/experiences/,experiences in hampshire,things to do in hampshire,GB,en,mobile
https://www.fourseasons.com/hampshire/offers/,hotel offers hampshire,,GB,en,mobile
https://www.fourseasons.com/hampshire/photos-and-videos/,,,GB,en,mobile
https://www.fourseasons.com/hampshire/spa/,spa hampshire,luxury hampshire spa,GB,en,mobile
https://www.fourseasons.com/hampshire/weddings/,hampshire weddings,,GB,en,mobile
https://www.fourseasons.com/hangzhoucentre/,"hangzhou luxury hotels
hangzhou luxury resorts","hangzhou hotel
hangzhou hotels
hangzhou china luxury resorts
luxury hotels in hangzhou china
5-star hotel hangzhou",CN,en,mobile
https://www.fourseasons.com/hangzhoucentre/accommodations/,"hangzhou luxury suites
hangzhou rooms",suites in hangzhou,CN,en,mobile
https://www.fourseasons.com/hangzhoucentre/dining/,hangzhou restaurants,hangzhou dining,CN,en,mobile
https://www.fourseasons.com/hangzhoucentre/offers/,"hangzhou​ vacation packages
luxury hotel offers in hangzhou",,CN,en,mobile
https://www.fourseasons.com/hangzhoucentre/photos-and-videos/,,,CN,en,mobile
https://www.fourseasons.com/hangzhoucentre/spa/,hangzhou spa,,CN,en,mobile
https://www.fourseasons.com/hangzhoucentre/weddings/,hangzhou wedding,,CN,en,mobile
https://www.fourseasons.com/hangzhou/,hangzhou luxury hotel,hangzhou hotel,CN,en,mobile
https://www.fourseasons.com/hangzhou/accommodations/,accommodation hangzhou,hotel near west lake,CN,en,mobile
https://www.fourseasons.com/hangzhou/dining/,hangzhou restaurants,dining hangzhou,CN,en,mobile
https://www.fourseasons.com/hangzhou/experiences/,hangzhou tours,things to do in hangzhou,CN,en,mobile
https://www.fourseasons.com/hangzhou/offers/,hangzhou vacation packages,,CN,en,mobile
https://www.fourseasons.com/hangzhou/photos-and-videos/,hangzhou photos,,CN,en,mobile
